Time(s)	V(m/s)	xb(m)	xt(m)
542.780	10.999	0.648	0.318
542.790	10.980	0.646	0.317
542.800	10.958	0.644	0.316
542.810	10.934	0.642	0.315
542.820	10.908	0.641	0.314
542.830	10.883	0.639	0.313
542.840	10.859	0.637	0.311
542.850	10.837	0.635	0.310
542.860	10.818	0.633	0.309
542.870	10.802	0.631	0.308
542.880	10.789	0.629	0.307
542.890	10.778	0.627	0.306
542.900	10.769	0.626	0.305
542.910	10.761	0.624	0.304
542.920	10.753	0.622	0.303
542.930	10.745	0.620	0.302
542.940	10.736	0.618	0.301
542.950	10.726	0.616	0.300
542.960	10.714	0.614	0.299
542.970	10.701	0.612	0.298
542.980	10.687	0.610	0.297
542.990	10.674	0.608	0.296
543.000	10.660	0.607	0.295
543.010	10.648	0.605	0.294
543.020	10.637	0.603	0.293
543.030	10.629	0.601	0.292
543.040	10.623	0.599	0.291
543.050	10.620	0.597	0.290
543.060	10.620	0.595	0.289
543.070	10.623	0.593	0.288
543.080	10.630	0.591	0.287
543.090	10.640	0.590	0.286
543.100	10.653	0.588	0.285
543.110	10.670	0.586	0.284
543.120	10.690	0.584	0.283
543.130	10.713	0.583	0.282
543.140	10.740	0.581	0.281
543.150	10.769	0.579	0.281
543.160	10.800	0.578	0.280
543.170	10.831	0.576	0.279
543.180	10.862	0.575	0.278
543.190	10.891	0.574	0.277
543.200	10.915	0.572	0.276
543.210	10.933	0.571	0.275
543.220	10.944	0.570	0.274
543.230	10.945	0.569	0.273
543.240	10.935	0.568	0.273
543.250	10.914	0.567	0.272
543.260	10.881	0.566	0.271
543.270	10.838	0.566	0.270
543.280	10.786	0.565	0.269
543.290	10.727	0.564	0.268
543.300	10.664	0.564	0.268
543.310	10.599	0.563	0.267
543.320	10.535	0.563	0.266
543.330	10.477	0.562	0.265
543.340	10.425	0.562	0.265
543.350	10.382	0.561	0.264
543.360	10.350	0.561	0.263
543.370	10.329	0.560	0.262
543.380	10.319	0.560	0.261
543.390	10.320	0.560	0.261
543.400	10.331	0.559	0.260
543.410	10.350	0.559	0.259
543.420	10.375	0.558	0.259
543.430	10.406	0.558	0.258
543.440	10.440	0.557	0.257
543.450	10.476	0.557	0.257
543.460	10.513	0.556	0.256
543.470	10.549	0.556	0.255
543.480	10.584	0.555	0.255
543.490	10.617	0.555	0.254
543.500	10.647	0.554	0.253
543.510	10.673	0.554	0.253
543.520	10.694	0.554	0.252
543.530	10.708	0.554	0.251
543.540	10.715	0.553	0.251
543.550	10.713	0.553	0.250
543.560	10.702	0.553	0.250
543.570	10.680	0.553	0.249
543.580	10.649	0.553	0.249
543.590	10.608	0.553	0.248
543.600	10.560	0.553	0.248
543.610	10.506	0.553	0.247
543.620	10.451	0.553	0.246
543.630	10.396	0.554	0.246
543.640	10.346	0.554	0.246
543.650	10.305	0.554	0.245
543.660	10.276	0.554	0.245
543.670	10.261	0.554	0.244
543.680	10.261	0.554	0.244
543.690	10.278	0.554	0.243
543.700	10.309	0.554	0.243
543.710	10.353	0.554	0.243
543.720	10.407	0.554	0.242
543.730	10.467	0.553	0.242
543.740	10.528	0.553	0.241
543.750	10.587	0.553	0.241
543.760	10.639	0.553	0.241
543.770	10.681	0.553	0.240
543.780	10.712	0.553	0.240
543.790	10.731	0.553	0.240
543.800	10.739	0.553	0.240
543.810	10.737	0.554	0.239
543.820	10.729	0.554	0.239
543.830	10.717	0.554	0.239
543.840	10.706	0.554	0.239
543.850	10.698	0.554	0.238
543.860	10.697	0.555	0.238
543.870	10.704	0.555	0.238
543.880	10.718	0.555	0.238
543.890	10.740	0.556	0.238
543.900	10.767	0.556	0.238
543.910	10.795	0.557	0.238
543.920	10.821	0.557	0.237
543.930	10.840	0.558	0.237
543.940	10.849	0.558	0.237
543.950	10.845	0.559	0.237
543.960	10.826	0.559	0.237
543.970	10.792	0.560	0.237
543.980	10.743	0.561	0.237
543.990	10.682	0.561	0.237
544.000	10.614	0.562	0.237
544.010	10.543	0.563	0.237
544.020	10.474	0.563	0.237
544.030	10.414	0.564	0.237
544.040	10.366	0.565	0.237
544.050	10.336	0.565	0.238
544.060	10.326	0.566	0.238
544.070	10.336	0.566	0.238
544.080	10.367	0.567	0.238
544.090	10.415	0.567	0.238
544.100	10.477	0.567	0.238
544.110	10.548	0.568	0.238
544.120	10.623	0.568	0.239
544.130	10.697	0.568	0.239
544.140	10.764	0.568	0.239
544.150	10.819	0.569	0.239
544.160	10.861	0.569	0.240
544.170	10.888	0.569	0.240
544.180	10.900	0.570	0.240
544.190	10.897	0.570	0.241
544.200	10.883	0.570	0.241
544.210	10.862	0.571	0.241
544.220	10.837	0.571	0.242
544.230	10.812	0.572	0.242
544.240	10.792	0.572	0.242
544.250	10.778	0.573	0.243
544.260	10.774	0.573	0.243
544.270	10.780	0.574	0.244
544.280	10.794	0.574	0.244
544.290	10.817	0.574	0.245
544.300	10.845	0.575	0.245
544.310	10.875	0.575	0.246
544.320	10.904	0.576	0.246
544.330	10.929	0.576	0.247
544.340	10.948	0.577	0.247
544.350	10.959	0.577	0.248
544.360	10.961	0.578	0.249
544.370	10.955	0.579	0.249
544.380	10.943	0.579	0.250
544.390	10.927	0.580	0.250
544.400	10.911	0.580	0.251
544.410	10.898	0.581	0.252
544.420	10.892	0.581	0.252
544.430	10.896	0.582	0.253
544.440	10.913	0.583	0.254
544.450	10.945	0.583	0.254
544.460	10.992	0.584	0.255
544.470	11.051	0.585	0.256
544.480	11.121	0.585	0.257
544.490	11.198	0.586	0.257
544.500	11.278	0.587	0.258
544.510	11.355	0.588	0.259
544.520	11.424	0.588	0.260
544.530	11.481	0.589	0.261
544.540	11.522	0.590	0.261
544.550	11.545	0.591	0.262
544.560	11.549	0.592	0.263
544.570	11.534	0.594	0.264
544.580	11.503	0.595	0.265
544.590	11.458	0.596	0.266
544.600	11.405	0.598	0.267
544.610	11.349	0.599	0.268
544.620	11.296	0.600	0.269
544.630	11.250	0.602	0.270
544.640	11.215	0.603	0.271
544.650	11.195	0.605	0.272
544.660	11.192	0.606	0.272
544.670	11.206	0.608	0.273
544.680	11.234	0.609	0.275
544.690	11.274	0.611	0.276
544.700	11.323	0.612	0.277
544.710	11.376	0.614	0.278
544.720	11.427	0.616	0.279
544.730	11.473	0.617	0.280
544.740	11.510	0.619	0.281
544.750	11.535	0.620	0.282
544.760	11.548	0.622	0.283
544.770	11.547	0.624	0.284
544.780	11.536	0.625	0.285
544.790	11.516	0.627	0.286
544.800	11.491	0.629	0.288
544.810	11.464	0.630	0.289
544.820	11.441	0.632	0.290
544.830	11.423	0.634	0.291
544.840	11.414	0.636	0.292
544.850	11.415	0.637	0.293
544.860	11.425	0.639	0.295
544.870	11.443	0.641	0.296
544.880	11.468	0.642	0.297
544.890	11.496	0.644	0.298
544.900	11.524	0.646	0.300
544.910	11.547	0.647	0.301
544.920	11.563	0.649	0.302
544.930	11.569	0.651	0.303
544.940	11.564	0.652	0.305
544.950	11.548	0.654	0.306
544.960	11.521	0.655	0.307
544.970	11.486	0.657	0.309
544.980	11.446	0.658	0.310
544.990	11.403	0.660	0.311
545.000	11.363	0.661	0.313
545.010	11.329	0.662	0.314
545.020	11.303	0.664	0.316
545.030	11.287	0.665	0.317
545.040	11.283	0.666	0.318
545.050	11.291	0.667	0.320
545.060	11.309	0.668	0.321
545.070	11.337	0.669	0.323
545.080	11.370	0.670	0.324
545.090	11.406	0.671	0.325
545.100	11.443	0.672	0.327
545.110	11.478	0.673	0.328
545.120	11.508	0.673	0.330
545.130	11.532	0.674	0.331
545.140	11.549	0.675	0.333
545.150	11.559	0.675	0.334
545.160	11.563	0.676	0.336
545.170	11.562	0.677	0.337
545.180	11.557	0.677	0.339
545.190	11.550	0.678	0.340
545.200	11.542	0.678	0.341
545.210	11.534	0.679	0.343
545.220	11.528	0.679	0.344
545.230	11.522	0.679	0.346
545.240	11.518	0.680	0.347
545.250	11.515	0.680	0.349
545.260	11.511	0.680	0.350
545.270	11.508	0.681	0.352
545.280	11.503	0.681	0.353
545.290	11.497	0.681	0.355
545.300	11.488	0.681	0.356
545.310	11.478	0.681	0.358
545.320	11.466	0.681	0.359
545.330	11.451	0.681	0.361
545.340	11.435	0.682	0.362
545.350	11.418	0.681	0.364
545.360	11.400	0.681	0.365
545.370	11.381	0.681	0.367
545.380	11.362	0.681	0.368
545.390	11.342	0.681	0.370
545.400	11.322	0.681	0.371
545.410	11.302	0.680	0.373
545.420	11.283	0.680	0.374
545.430	11.265	0.680	0.376
545.440	11.249	0.679	0.377
545.450	11.236	0.679	0.379
545.460	11.228	0.678	0.380
545.470	11.226	0.678	0.382
545.480	11.230	0.677	0.383
545.490	11.243	0.676	0.384
545.500	11.263	0.676	0.386
545.510	11.292	0.675	0.387
545.520	11.328	0.674	0.389
545.530	11.370	0.673	0.390
545.540	11.415	0.672	0.391
545.550	11.461	0.672	0.393
545.560	11.506	0.671	0.394
545.570	11.546	0.670	0.396
545.580	11.578	0.669	0.397
545.590	11.601	0.668	0.398
545.600	11.613	0.668	0.399
545.610	11.613	0.667	0.401
545.620	11.602	0.666	0.402
545.630	11.581	0.666	0.403
545.640	11.551	0.665	0.404
545.650	11.516	0.664	0.406
545.660	11.479	0.664	0.407
545.670	11.442	0.663	0.408
545.680	11.408	0.663	0.409
545.690	11.379	0.662	0.410
545.700	11.356	0.662	0.412
545.710	11.341	0.661	0.413
545.720	11.334	0.661	0.414
545.730	11.333	0.661	0.415
545.740	11.337	0.660	0.416
545.750	11.345	0.660	0.417
545.760	11.355	0.659	0.418
545.770	11.365	0.659	0.419
545.780	11.375	0.658	0.420
545.790	11.383	0.658	0.421
545.800	11.389	0.658	0.422
545.810	11.393	0.657	0.423
545.820	11.396	0.657	0.424
545.830	11.397	0.657	0.424
545.840	11.399	0.656	0.425
545.850	11.400	0.656	0.426
545.860	11.401	0.656	0.427
545.870	11.401	0.656	0.428
545.880	11.400	0.655	0.428
545.890	11.395	0.655	0.429
545.900	11.386	0.655	0.430
545.910	11.370	0.655	0.431
545.920	11.347	0.655	0.431
545.930	11.316	0.655	0.432
545.940	11.277	0.655	0.432
545.950	11.230	0.655	0.433
545.960	11.177	0.655	0.434
545.970	11.120	0.655	0.434
545.980	11.062	0.655	0.435
545.990	11.008	0.655	0.435
546.000	10.959	0.655	0.436
546.010	10.919	0.655	0.436
546.020	10.892	0.655	0.436
546.030	10.877	0.654	0.437
546.040	10.876	0.654	0.437
546.050	10.887	0.654	0.437
546.060	10.910	0.654	0.438
546.070	10.941	0.653	0.438
546.080	10.977	0.653	0.438
546.090	11.014	0.652	0.438
546.100	11.049	0.652	0.439
546.110	11.079	0.652	0.439
546.120	11.101	0.651	0.439
546.130	11.113	0.651	0.439
546.140	11.116	0.650	0.439
546.150	11.109	0.650	0.439
546.160	11.096	0.650	0.439
546.170	11.077	0.649	0.439
546.180	11.056	0.649	0.439
546.190	11.035	0.648	0.439
546.200	11.016	0.648	0.439
546.210	11.001	0.648	0.439
546.220	10.992	0.647	0.439
546.230	10.987	0.647	0.438
546.240	10.988	0.647	0.438
546.250	10.992	0.646	0.438
546.260	10.997	0.646	0.438
546.270	11.002	0.645	0.437
546.280	11.006	0.645	0.437
546.290	11.006	0.645	0.437
546.300	11.002	0.644	0.436
546.310	10.994	0.644	0.436
546.320	10.982	0.643	0.435
546.330	10.968	0.643	0.435
546.340	10.952	0.643	0.435
546.350	10.938	0.642	0.434
546.360	10.927	0.642	0.433
546.370	10.920	0.642	0.433
546.380	10.918	0.641	0.432
546.390	10.921	0.641	0.432
546.400	10.930	0.641	0.431
546.410	10.944	0.640	0.430
546.420	10.960	0.640	0.430
546.430	10.978	0.640	0.429
546.440	10.994	0.639	0.428
546.450	11.009	0.639	0.427
546.460	11.019	0.639	0.427
546.470	11.025	0.638	0.426
546.480	11.027	0.638	0.425
546.490	11.024	0.638	0.424
546.500	11.019	0.638	0.423
546.510	11.012	0.637	0.422
546.520	11.006	0.637	0.421
546.530	11.002	0.637	0.420
546.540	11.002	0.637	0.419
546.550	11.007	0.637	0.418
546.560	11.017	0.637	0.417
546.570	11.033	0.637	0.416
546.580	11.053	0.637	0.415
546.590	11.076	0.636	0.414
546.600	11.100	0.636	0.413
546.610	11.124	0.637	0.412
546.620	11.146	0.637	0.410
546.630	11.164	0.637	0.409
546.640	11.177	0.637	0.408
546.650	11.184	0.637	0.407
546.660	11.187	0.637	0.405
546.670	11.185	0.638	0.404
546.680	11.180	0.638	0.403
546.690	11.173	0.638	0.401
546.700	11.166	0.639	0.400
546.710	11.161	0.639	0.399
546.720	11.158	0.639	0.397
546.730	11.158	0.640	0.396
546.740	11.163	0.640	0.394
546.750	11.172	0.641	0.393
546.760	11.183	0.642	0.392
546.770	11.198	0.642	0.390
546.780	11.213	0.643	0.389
546.790	11.229	0.643	0.387
546.800	11.244	0.644	0.386
546.810	11.256	0.645	0.384
546.820	11.266	0.645	0.382
546.830	11.272	0.646	0.381
546.840	11.275	0.647	0.379
546.850	11.273	0.648	0.378
546.860	11.268	0.649	0.376
546.870	11.260	0.650	0.375
546.880	11.249	0.651	0.373
546.890	11.235	0.651	0.371
546.900	11.219	0.652	0.370
546.910	11.201	0.653	0.368
546.920	11.181	0.654	0.366
546.930	11.160	0.655	0.365
546.940	11.138	0.656	0.363
546.950	11.115	0.657	0.361
546.960	11.093	0.658	0.360
546.970	11.072	0.659	0.358
546.980	11.054	0.660	0.356
546.990	11.040	0.660	0.355
547.000	11.030	0.661	0.353
547.010	11.025	0.662	0.351
547.020	11.025	0.663	0.350
547.030	11.030	0.663	0.348
547.040	11.040	0.664	0.346
547.050	11.053	0.665	0.345
547.060	11.068	0.665	0.343
547.070	11.082	0.666	0.341
547.080	11.094	0.666	0.340
547.090	11.101	0.667	0.338
547.100	11.102	0.667	0.336
547.110	11.097	0.667	0.335
547.120	11.084	0.668	0.333
547.130	11.064	0.668	0.331
547.140	11.038	0.668	0.330
547.150	11.010	0.668	0.328
547.160	10.980	0.669	0.326
547.170	10.952	0.669	0.325
547.180	10.930	0.669	0.323
547.190	10.914	0.669	0.321
547.200	10.907	0.669	0.320
547.210	10.911	0.668	0.318
547.220	10.924	0.668	0.317
547.230	10.945	0.668	0.315
547.240	10.974	0.668	0.313
547.250	11.005	0.667	0.312
547.260	11.037	0.667	0.310
547.270	11.065	0.667	0.309
547.280	11.087	0.666	0.307
547.290	11.098	0.666	0.306
547.300	11.098	0.665	0.304
547.310	11.085	0.664	0.303
547.320	11.059	0.664	0.301
547.330	11.023	0.663	0.300
547.340	10.979	0.662	0.298
547.350	10.930	0.662	0.297
547.360	10.878	0.661	0.295
547.370	10.830	0.660	0.294
547.380	10.786	0.659	0.292
547.390	10.751	0.658	0.291
547.400	10.727	0.657	0.290
547.410	10.713	0.656	0.288
547.420	10.711	0.655	0.287
547.430	10.719	0.654	0.286
547.440	10.736	0.653	0.284
547.450	10.759	0.651	0.283
547.460	10.786	0.650	0.282
547.470	10.814	0.648	0.280
547.480	10.843	0.647	0.279
547.490	10.869	0.645	0.278
547.500	10.894	0.644	0.277
547.510	10.915	0.642	0.275
547.520	10.935	0.640	0.274
547.530	10.955	0.639	0.273
547.540	10.975	0.637	0.272
547.550	10.998	0.635	0.271
547.560	11.024	0.634	0.270
547.570	11.054	0.632	0.269
547.580	11.090	0.630	0.268
547.590	11.131	0.629	0.266
547.600	11.176	0.627	0.265
547.610	11.224	0.626	0.264
547.620	11.273	0.624	0.263
547.630	11.323	0.623	0.262
547.640	11.371	0.622	0.261
547.650	11.416	0.621	0.260
547.660	11.456	0.619	0.259
547.670	11.491	0.618	0.258
547.680	11.520	0.617	0.258
547.690	11.544	0.616	0.257
547.700	11.564	0.616	0.256
547.710	11.579	0.615	0.255
547.720	11.592	0.614	0.254
547.730	11.604	0.614	0.253
547.740	11.615	0.614	0.252
547.750	11.626	0.613	0.252
547.760	11.638	0.613	0.251
547.770	11.651	0.613	0.250
547.780	11.665	0.613	0.249
547.790	11.678	0.613	0.249
547.800	11.691	0.614	0.248
547.810	11.702	0.614	0.247
547.820	11.710	0.615	0.247
547.830	11.714	0.615	0.246
547.840	11.713	0.616	0.245
547.850	11.707	0.617	0.245
547.860	11.696	0.617	0.244
547.870	11.680	0.618	0.244
547.880	11.658	0.619	0.243
547.890	11.632	0.621	0.243
547.900	11.603	0.622	0.242
547.910	11.573	0.623	0.242
547.920	11.542	0.624	0.241
547.930	11.513	0.626	0.241
547.940	11.487	0.627	0.241
547.950	11.466	0.628	0.240
547.960	11.451	0.630	0.240
547.970	11.444	0.631	0.240
547.980	11.445	0.633	0.239
547.990	11.455	0.634	0.239
548.000	11.473	0.636	0.239
548.010	11.499	0.637	0.239
548.020	11.531	0.638	0.238
548.030	11.568	0.640	0.238
548.040	11.606	0.641	0.238
548.050	11.645	0.643	0.238
548.060	11.680	0.644	0.238
548.070	11.710	0.646	0.238
548.080	11.733	0.648	0.238
548.090	11.746	0.649	0.238
548.100	11.749	0.651	0.238
548.110	11.741	0.652	0.238
548.120	11.724	0.654	0.238
548.130	11.697	0.656	0.238
548.140	11.665	0.657	0.238
548.150	11.628	0.659	0.239
548.160	11.589	0.661	0.239
548.170	11.552	0.662	0.239
548.180	11.519	0.664	0.239
548.190	11.491	0.665	0.240
548.200	11.470	0.667	0.240
548.210	11.457	0.668	0.240
548.220	11.451	0.670	0.241
548.230	11.451	0.671	0.241
548.240	11.455	0.672	0.242
548.250	11.462	0.674	0.242
548.260	11.470	0.675	0.243
548.270	11.476	0.676	0.243
548.280	11.480	0.677	0.244
548.290	11.481	0.678	0.244
548.300	11.478	0.679	0.245
548.310	11.473	0.680	0.246
548.320	11.467	0.680	0.246
548.330	11.461	0.681	0.247
548.340	11.458	0.682	0.248
548.350	11.460	0.682	0.249
548.360	11.467	0.683	0.249
548.370	11.482	0.683	0.250
548.380	11.504	0.684	0.251
548.390	11.532	0.684	0.252
548.400	11.565	0.684	0.253
548.410	11.600	0.685	0.254
548.420	11.634	0.685	0.255
548.430	11.665	0.685	0.256
548.440	11.689	0.685	0.257
548.450	11.705	0.685	0.258
548.460	11.711	0.685	0.259
548.470	11.706	0.685	0.260
548.480	11.692	0.685	0.261
548.490	11.669	0.685	0.263
548.500	11.641	0.685	0.264
548.510	11.612	0.685	0.265
548.520	11.584	0.685	0.266
548.530	11.561	0.685	0.268
548.540	11.545	0.685	0.269
548.550	11.540	0.685	0.270
548.560	11.544	0.684	0.272
548.570	11.558	0.684	0.273
548.580	11.579	0.684	0.274
548.590	11.604	0.683	0.276
548.600	11.629	0.683	0.277
548.610	11.649	0.682	0.279
548.620	11.661	0.682	0.280
548.630	11.660	0.681	0.282
548.640	11.644	0.681	0.283
548.650	11.611	0.680	0.285
548.660	11.562	0.680	0.286
548.670	11.497	0.679	0.288
548.680	11.420	0.679	0.290
548.690	11.336	0.678	0.291
548.700	11.249	0.677	0.293
548.710	11.166	0.676	0.295
548.720	11.091	0.676	0.296
548.730	11.029	0.675	0.298
548.740	10.984	0.674	0.300
548.750	10.958	0.672	0.301
548.760	10.951	0.671	0.303
548.770	10.962	0.670	0.305
548.780	10.989	0.668	0.307
548.790	11.027	0.667	0.308
548.800	11.073	0.665	0.310
548.810	11.121	0.663	0.312
548.820	11.167	0.662	0.314
548.830	11.205	0.660	0.316
548.840	11.233	0.658	0.317
548.850	11.247	0.656	0.319
548.860	11.247	0.655	0.321
548.870	11.233	0.653	0.323
548.880	11.205	0.651	0.325
548.890	11.165	0.649	0.327
548.900	11.117	0.647	0.329
548.910	11.063	0.645	0.330
548.920	11.007	0.643	0.332
548.930	10.951	0.641	0.334
548.940	10.898	0.639	0.336
548.950	10.851	0.637	0.338
548.960	10.810	0.635	0.340
548.970	10.776	0.633	0.341
548.980	10.750	0.631	0.343
548.990	10.732	0.628	0.345
549.000	10.721	0.626	0.347
549.010	10.716	0.624	0.349
549.020	10.717	0.621	0.351
549.030	10.722	0.619	0.352
549.040	10.729	0.617	0.354
549.050	10.739	0.614	0.356
549.060	10.751	0.612	0.358
549.070	10.762	0.609	0.360
549.080	10.773	0.607	0.361
549.090	10.782	0.605	0.363
549.100	10.789	0.602	0.365
549.110	10.792	0.600	0.367
549.120	10.792	0.597	0.368
549.130	10.788	0.595	0.370
549.140	10.779	0.593	0.372
549.150	10.767	0.590	0.373
549.160	10.751	0.588	0.375
549.170	10.734	0.586	0.377
549.180	10.716	0.584	0.378
549.190	10.699	0.582	0.380
549.200	10.685	0.579	0.381
549.210	10.677	0.577	0.383
549.220	10.676	0.575	0.384
549.230	10.685	0.573	0.386
549.240	10.703	0.571	0.387
549.250	10.733	0.569	0.389
549.260	10.773	0.568	0.390
549.270	10.823	0.566	0.392
549.280	10.881	0.564	0.393
549.290	10.945	0.563	0.394
549.300	11.011	0.561	0.396
549.310	11.076	0.560	0.397
549.320	11.138	0.558	0.398
549.330	11.191	0.557	0.399
549.340	11.233	0.556	0.401
549.350	11.261	0.556	0.402
549.360	11.273	0.555	0.403
549.370	11.270	0.554	0.404
549.380	11.249	0.554	0.405
549.390	11.213	0.554	0.406
549.400	11.164	0.554	0.407
549.410	11.105	0.554	0.408
549.420	11.039	0.554	0.409
549.430	10.971	0.554	0.410
549.440	10.905	0.555	0.411
549.450	10.844	0.555	0.412
549.460	10.794	0.556	0.412
549.470	10.756	0.556	0.413
549.480	10.735	0.557	0.414
549.490	10.730	0.558	0.415
549.500	10.744	0.559	0.415
549.510	10.773	0.559	0.416
549.520	10.819	0.560	0.416
549.530	10.876	0.561	0.417
549.540	10.943	0.563	0.418
549.550	11.015	0.564	0.418
549.560	11.088	0.565	0.418
549.570	11.157	0.566	0.419
549.580	11.220	0.568	0.419
549.590	11.273	0.569	0.420
549.600	11.313	0.571	0.420
549.610	11.339	0.573	0.420
549.620	11.350	0.575	0.420
549.630	11.346	0.577	0.421
549.640	11.328	0.579	0.421
549.650	11.299	0.581	0.421
549.660	11.261	0.583	0.421
549.670	11.216	0.586	0.421
549.680	11.169	0.588	0.421
549.690	11.121	0.591	0.421
549.700	11.076	0.593	0.421
549.710	11.035	0.596	0.421
549.720	11.001	0.599	0.421
549.730	10.973	0.601	0.421
549.740	10.954	0.604	0.421
549.750	10.942	0.607	0.421
549.760	10.937	0.609	0.421
549.770	10.938	0.612	0.420
549.780	10.943	0.615	0.420
549.790	10.953	0.618	0.420
549.800	10.965	0.620	0.420
549.810	10.978	0.623	0.419
549.820	10.993	0.625	0.419
549.830	11.007	0.628	0.419
549.840	11.022	0.631	0.418
549.850	11.036	0.633	0.418
549.860	11.050	0.636	0.417
549.870	11.064	0.638	0.417
549.880	11.078	0.641	0.416
549.890	11.091	0.643	0.416
549.900	11.104	0.645	0.415
549.910	11.116	0.648	0.415
549.920	11.129	0.650	0.414
549.930	11.140	0.653	0.413
549.940	11.151	0.655	0.413
549.950	11.162	0.657	0.412
549.960	11.172	0.659	0.412
549.970	11.181	0.662	0.411
549.980	11.190	0.664	0.410
549.990	11.198	0.666	0.409
550.000	11.205	0.668	0.409
550.010	11.212	0.670	0.408
550.020	11.217	0.672	0.407
550.030	11.221	0.674	0.406
550.040	11.222	0.676	0.406
550.050	11.220	0.678	0.405
550.060	11.213	0.680	0.404
550.070	11.202	0.681	0.403
550.080	11.183	0.683	0.402
550.090	11.158	0.685	0.401
550.100	11.127	0.686	0.400
550.110	11.088	0.688	0.400
550.120	11.043	0.689	0.399
550.130	10.994	0.690	0.398
550.140	10.941	0.692	0.397
550.150	10.887	0.693	0.396
550.160	10.835	0.694	0.395
550.170	10.785	0.695	0.394
550.180	10.741	0.696	0.393
550.190	10.704	0.696	0.392
550.200	10.676	0.697	0.391
550.210	10.656	0.697	0.390
550.220	10.645	0.697	0.389
550.230	10.642	0.697	0.388
550.240	10.646	0.697	0.387
550.250	10.657	0.697	0.386
550.260	10.672	0.697	0.385
550.270	10.689	0.696	0.384
550.280	10.708	0.696	0.383
550.290	10.726	0.695	0.382
550.300	10.744	0.694	0.381
550.310	10.760	0.693	0.380
550.320	10.774	0.692	0.379
550.330	10.787	0.691	0.378
550.340	10.798	0.690	0.377
550.350	10.808	0.689	0.376
550.360	10.818	0.687	0.375
550.370	10.825	0.686	0.374
550.380	10.832	0.684	0.373
550.390	10.836	0.683	0.371
550.400	10.836	0.681	0.370
550.410	10.833	0.679	0.369
550.420	10.825	0.677	0.368
550.430	10.811	0.676	0.367
550.440	10.790	0.674	0.366
550.450	10.764	0.672	0.365
550.460	10.732	0.670	0.364
550.470	10.697	0.667	0.363
550.480	10.659	0.665	0.362
550.490	10.621	0.663	0.360
550.500	10.586	0.661	0.359
550.510	10.556	0.658	0.358
550.520	10.532	0.656	0.357
550.530	10.517	0.654	0.356
550.540	10.510	0.651	0.355
550.550	10.512	0.648	0.354
550.560	10.521	0.646	0.352
550.570	10.536	0.643	0.351
550.580	10.554	0.640	0.350
550.590	10.572	0.638	0.349
550.600	10.588	0.635	0.348
550.610	10.599	0.632	0.347
550.620	10.602	0.629	0.345
550.630	10.598	0.626	0.344
550.640	10.586	0.624	0.343
550.650	10.566	0.621	0.342
550.660	10.542	0.618	0.341
550.670	10.515	0.615	0.340
550.680	10.488	0.612	0.338
550.690	10.464	0.609	0.337
550.700	10.447	0.607	0.336
550.710	10.437	0.604	0.335
550.720	10.435	0.601	0.333
550.730	10.443	0.598	0.332
550.740	10.458	0.595	0.331
550.750	10.478	0.593	0.330
550.760	10.501	0.590	0.328
550.770	10.523	0.587	0.327
550.780	10.541	0.584	0.326
550.790	10.552	0.582	0.325
550.800	10.553	0.579	0.323
550.810	10.543	0.577	0.322
550.820	10.522	0.574	0.321
550.830	10.491	0.572	0.320
550.840	10.453	0.569	0.318
550.850	10.410	0.567	0.317
550.860	10.365	0.565	0.316
550.870	10.323	0.562	0.314
550.880	10.287	0.560	0.313
550.890	10.260	0.558	0.312
550.900	10.244	0.556	0.310
550.910	10.238	0.554	0.309
550.920	10.244	0.552	0.308
550.930	10.259	0.550	0.306
550.940	10.281	0.548	0.305
550.950	10.307	0.546	0.304
550.960	10.333	0.544	0.302
550.970	10.358	0.542	0.301
550.980	10.377	0.540	0.300
550.990	10.390	0.539	0.298
551.000	10.395	0.537	0.297
551.010	10.393	0.535	0.295
551.020	10.385	0.534	0.294
551.030	10.373	0.532	0.293
551.040	10.359	0.531	0.291
551.050	10.347	0.530	0.290
551.060	10.339	0.529	0.288
551.070	10.337	0.527	0.287
551.080	10.344	0.526	0.286
551.090	10.359	0.525	0.284
551.100	10.385	0.524	0.283
551.110	10.419	0.524	0.281
551.120	10.461	0.523	0.280
551.130	10.509	0.522	0.279
551.140	10.562	0.522	0.277
551.150	10.618	0.521	0.276
551.160	10.675	0.521	0.274
551.170	10.732	0.520	0.273
551.180	10.788	0.520	0.271
551.190	10.841	0.520	0.270
551.200	10.891	0.520	0.269
551.210	10.937	0.521	0.267
551.220	10.980	0.521	0.266
551.230	11.017	0.522	0.264
551.240	11.049	0.522	0.263
551.250	11.073	0.523	0.261
551.260	11.090	0.524	0.260
551.270	11.096	0.525	0.259
551.280	11.092	0.527	0.257
551.290	11.076	0.528	0.256
551.300	11.049	0.530	0.254
551.310	11.010	0.531	0.253
551.320	10.963	0.533	0.252
551.330	10.908	0.535	0.250
551.340	10.850	0.537	0.249
551.350	10.793	0.539	0.248
551.360	10.741	0.541	0.246
551.370	10.699	0.543	0.245
551.380	10.672	0.545	0.244
551.390	10.662	0.547	0.242
551.400	10.672	0.550	0.241
551.410	10.704	0.552	0.240
551.420	10.756	0.554	0.238
551.430	10.827	0.556	0.237
551.440	10.914	0.559	0.236
551.450	11.011	0.561	0.235
551.460	11.113	0.564	0.233
551.470	11.215	0.566	0.232
551.480	11.312	0.569	0.231
551.490	11.399	0.571	0.230
551.500	11.471	0.574	0.229
